trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
267,False,"{'a': 0.2, 'e': 0.06832772446471172}",20,13,12.975018586610064,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.2, 'e': 0.0676444472200646}",25,13,23.039624856291688,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.2, 'e': 0.06696800274786396}",20,7,-1.2887490154773809,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
270,False,"{'a': 0.2, 'e': 0.06629832272038531}",20,9,-29.824256242215537,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
271,False,"{'a': 0.2, 'e': 0.06563533949318147}",20,10,11.450155766947768,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.2, 'e': 0.06497898609824965}",30,20,19.650206280590726,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.2, 'e': 0.06432919623726716}",20,10,20.47290690362047,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.2, 'e': 0.06368590427489448}",20,16,5.560871566678106,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.2, 'e': 0.06304904523214554}",20,15,8.28329853139708,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.2, 'e': 0.06241855477982408}",20,11,16.2701448653217,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.2, 'e': 0.06179436923202584}",25,3,35.47584793790719,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.2, 'e': 0.06117642553970558}",35,24,25.347479334468204,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.2, 'e': 0.06056466128430853}",25,7,31.877809818429988,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.2, 'e': 0.05995901467146544}",25,15,18.050177728002126,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.2, 'e': 0.059359424524750785}",20,7,20.49143422759729,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.2, 'e': 0.05876583027950327}",35,12,47.26688594502169,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.2, 'e': 0.05817817197670824}",20,15,11.077252703685591,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.2, 'e': 0.05759639025694116}",20,0,35.3300478482307,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
285,False,"{'a': 0.2, 'e': 0.057020426354371746}",25,11,11.884955143185337,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.2, 'e': 0.05645022209082803}",20,9,21.771157527486775,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.2, 'e': 0.05588571986991975}",25,10,24.823611330619933,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.2, 'e': 0.05532686267122055}",20,6,8.495569026893008,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
289,False,"{'a': 0.2, 'e': 0.05477359404450834}",35,17,29.468111674883122,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.2, 'e': 0.05422585810406326}",25,11,2.2546902691728645,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
291,False,"{'a': 0.2, 'e': 0.05368359952302263}",35,8,46.31024334027183,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.2, 'e': 0.0531467635277924}",20,8,23.232031029792722,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.2, 'e': 0.05261529589251448}",20,0,23.992879908201985,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
294,False,"{'a': 0.2, 'e': 0.05208914293358933}",20,6,27.660607758114512,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.2, 'e': 0.05156825150425344}",30,12,31.990645840404245,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.2, 'e': 0.0510525689892109}",25,18,7.055530729341659,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.2, 'e': 0.050542043299318794}",20,6,24.465008914957608,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.2, 'e': 0.050036622866325604}",25,15,19.542111968785296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.2, 'e': 0.04953625663766235}",20,4,31.103679162531012,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,10,19.149632981110965,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,16,27.695267862749432,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,17.86291836367267,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,6,22.943980069637302,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,22.82468208344149,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,20,9.171251125333011,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,16,15.75382063544247,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,6,37.66664665811725,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,15,27.73522952776704,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,10,26.694438732488614,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
