trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.2, 'e': 0.28470777327319546}",30,13,-61.53641567597108,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
126,False,"{'a': 0.2, 'e': 0.2818606955404635}",30,0,43.25060345434643,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.2, 'e': 0.27904208858505886}",20,8,24.308328395157723,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.2762516676992083}",20,9,-3.6822565715631193,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.2, 'e': 0.2734891510222162}",30,13,-79.2030277813114,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
130,False,"{'a': 0.2, 'e': 0.27075425951199406}",20,9,-0.830970554609973,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.2680467169168741}",20,13,8.044865602628075,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.26536624974770534}",25,0,-16.84955234381741,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.2, 'e': 0.2627125872502283}",20,8,-56.50625529625389,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
134,False,"{'a': 0.2, 'e': 0.26008546137772603}",20,13,11.550812198376823,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.25748460676394874}",20,7,-15.353280548841564,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.2549097606963093}",25,11,14.878413061874477,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.2523606630893462}",20,9,11.37259269943015,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.2498370564584527}",25,0,31.213802461833524,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.2, 'e': 0.24733868589386818}",25,14,-2.033092330960398,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.24486529903492948}",25,17,13.809285060533142,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.2, 'e': 0.2424166460445802}",30,0,-0.8736159003208599,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.2, 'e': 0.2399924795841344}",20,4,22.504958014608444,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.23759255478829303}",20,9,21.326975521958303,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.23521662924041012}",20,0,5.656896856314185,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
145,False,"{'a': 0.2, 'e': 0.232864462948006}",25,11,18.337959437753078,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.2, 'e': 0.23053581831852593}",30,11,-31.036187862668097,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.2, 'e': 0.22823046013534068}",20,8,22.485414159070174,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.22594815553398728}",25,9,24.70889240029862,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.2236886739786474}",20,0,14.256866088883577,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.2, 'e': 0.22145178723886091}",25,0,-28.19963208431686,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.2, 'e': 0.2192372693664723}",20,3,20.399528552857703,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.21704489667280757}",20,15,9.12287860308449,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.2148744477060795}",20,10,14.724218088540844,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.2, 'e': 0.2127257032290187}",20,3,-4.660288962058532,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
155,False,"{'a': 0.2, 'e': 0.21059844619672852}",20,0,23.80086654825864,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.2, 'e': 0.20849246173476124}",25,0,-4.414775465853261,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.2064075371174136}",25,5,-17.851201622301225,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.2, 'e': 0.2043434617462395}",20,14,12.467659837429721,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.2023000271287771}",30,12,19.443873799587845,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.2002770268574893}",25,14,-7.965596533890819,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.19827425658891443}",20,8,10.087681477410971,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.19629151402302528}",20,6,12.559549954686839,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.2, 'e': 0.19432859888279502}",20,14,10.390443772303286,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.19238531289396707}",25,14,11.737404750078655,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.1904614597650274}",20,8,18.05987012098739,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.1885568451673771}",20,2,-31.44085967535817,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.18667127671570335}",20,6,24.37758173357465,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.1848045639485463}",20,6,-21.907124588143077,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.2, 'e': 0.18295651830906084}",25,13,21.277889527330395,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.18112695312597024}",20,15,7.96485559418787,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.17931568359471053}",20,10,21.33726968704611,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.17752252675876343}",25,8,26.824799134690053,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.1757473014911758}",20,8,7.359727875589599,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.173989828476264}",20,16,5.704974385499676,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.1722499301915014}",20,3,-23.8038072869798,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.2, 'e': 0.17052743088958636}",20,9,17.869160797718337,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.1688221565806905}",20,12,12.348234834755784,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.1671339350148836}",25,9,-23.45402510149851,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.16546259566473476}",20,11,10.062401517601765,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.16380796970808742}",20,4,-28.207048303898958,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
181,False,"{'a': 0.2, 'e': 0.16216989001100654}",20,6,-16.363996366187468,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
182,False,"{'a': 0.2, 'e': 0.16054819111089647}",25,11,24.30632215951272,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.1589427091997875}",20,9,11.53592379265313,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.2, 'e': 0.15735328210778962}",20,6,17.580444240994733,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.2, 'e': 0.15577974928671173}",25,4,19.736206123742704,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.2, 'e': 0.1542219517938446}",20,13,11.782891334041468,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.2, 'e': 0.15267973227590617}",20,13,0.44449754933976404,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.2, 'e': 0.1511529349531471}",20,14,11.91131941900974,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.2, 'e': 0.14964140560361563}",25,0,-47.014242584887015,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
190,False,"{'a': 0.2, 'e': 0.14814499154757946}",30,7,42.45706181900888,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.2, 'e': 0.14666354163210368}",20,11,14.059240338385319,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.2, 'e': 0.14519690621578263}",20,9,18.130929038087253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.2, 'e': 0.1437449371536248}",20,8,28.581832235844853,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.2, 'e': 0.14230748778208857}",20,13,10.425763623389354,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.2, 'e': 0.14088441290426768}",20,0,25.281583324503515,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
196,False,"{'a': 0.2, 'e': 0.139475568775225}",30,16,14.367975448827458,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.2, 'e': 0.13808081308747275}",20,3,-13.379640997539475,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
198,False,"{'a': 0.2, 'e': 0.136700004956598}",25,7,32.87263210840342,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.2, 'e': 0.13533300490703204}",25,0,41.968977908937326,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.2, 'e': 0.13397967485796172}",30,7,-20.272698341957415,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
201,False,"{'a': 0.2, 'e': 0.1326398781093821}",25,14,-19.904749942639008,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
202,False,"{'a': 0.2, 'e': 0.13131347932828827}",25,0,-20.437752192795756,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
203,False,"{'a': 0.2, 'e': 0.1300003445350054}",25,11,26.349665702685282,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.2, 'e': 0.12870034108965533}",30,22,15.831868578075808,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
